_id,name,name_de,name_fr,name_es,name_it,name_jp,type,sub_type,rarity,carry_capacity,buy,sell,description,icon_name,armor_dupe_name_fix
6404,Nightfall Cannon,Dämmerungskanone,Canon du chevalier,Cañón nocturno,Cannone notturno,ナイト・カノン,Weapon,Gunlance,9,0,,,,,
6405,Nux Cannon,Nux-Kanone,Canon nux,Cañón nux,Cannone Nux,ニュクス・カノン,Weapon,Gunlance,9,0,,,,,
6406,Peco Teepee,Peco-Tipi,Tepee Peco,Tipi Peco,Tenda Qurupeco,ペッコティピー,Weapon,Gunlance,2,0,,,,,
6407,Peco Teepee+,Peco-Tipi+,Tepee Peco +,Tipi Peco+,Tenda Qurupeco+,ペッコティピー改,Weapon,Gunlance,2,0,,,,,
6408,Feather Gunlance,Feder-Gewehrlanze,Lancecanon plume,Lanza pistola pluma,Lancia-fucile piuma,フェザーガンランス,Weapon,Gunlance,4,0,,,,,
6409,Hypno Cannon,Hypno-Kanone,Hypno Canon,Cañón Hypno,Cannone hypno,ヒュプノキャノン,Weapon,Gunlance,6,0,,,,,
6410,Hypnos,Hypnos,Hypnos,Hypnos,Hypnos,眠銃槍ヒュプノス,Weapon,Gunlance,9,0,,,,,
6411,Felyoshka,Felyoshka,Felyoshka,Felyoshka,Felyoshka,アイリューシカ,Weapon,Gunlance,2,0,,,,,
6412,Felyoshka+,Felyoshka+,Felyoshka +,Felyoshka+,Felyoshka+,アイリューシカ改,Weapon,Gunlance,3,0,,,,,
6413,Felicitous Felyoshka,Glücks-Felyoshka,Félicité Felyoshka,Felyoshka de fortuna,Felyoshka felice,福福アイリューシカ,Weapon,Gunlance,5,0,,,,,
6414,Marine Fisher,Meeresfischer,Pêcheur marin,Pescador marino,Pescatore marino,マリンフィッシャー,Weapon,Gunlance,2,0,,,,,
6415,Abyssal Fisher,Tiefseefischer,Pêcheur des abysses,Pescador abisal,Pescatore abissale,ディープフィッシャー,Weapon,Gunlance,3,0,,,,,
6416,Deep Blue Sea,Tiefblaues Meer,Océan profond,Gigante azul,Mare profondo,ディープオーシャン,Weapon,Gunlance,5,0,,,,,
6417,Leviathan Gunlance,LeviathanGewehrlanze,Lancecanon Léviathan,Lza. pist. Leviathan,L-fucile Leviathan,海王槍リヴァイアサン,Weapon,Gunlance,6,0,,,,,
6418,Diviathan Gunlance,DiviathanGewehrlanze,Lancecanon Diviathan,Lza. pist. Diviathan,L-fucile Diviathan,海神槍リヴァイアサン,Weapon,Gunlance,8,0,,,,,
6419,Sea Abyss,Meeresabgrund,Abysse des mers,Abismo del mar,Abisso marino,海滅槍アビス,Weapon,Gunlance,9,0,,,,,
6420,Brilliance,Brillanz,Brillance,Resplandor,Brillantezza,燦々顕現,Weapon,Gunlance,4,0,,,,,
6421,Amaterasu,Amaterasu,Amaterasu,Amaterasu,Amaterasu,豪銃槍【天照大神】,Weapon,Gunlance,7,0,,,,,
6422,Iwato,Iwato,Iwato,Iwato,Iwato,岩戸隠,Weapon,Gunlance,9,0,,,,,
6423,Amatsuhiko,Amatsuhiko,Amatsuhiko,Amatsuhiko,Amatsuhiko,豪嵩銃鎗【天津日高】,Weapon,Gunlance,10,0,,,,,
6424,Ravenous Gunlance,GefräßigeGewehrlanze,Lancecanon vorace,Lanza pistola voraz,Lancia-fucile vorace,愚欲の銃槍,Weapon,Gunlance,4,0,,,,,
6425,Insatiable Gunlance,UnersättlGewehrlanze,Lancecanon avide,Lanza pist. ansiosa,L-fucile insaziabile,暴銃槍グラグリード,Weapon,Gunlance,6,0,,,,,
6426,Consummate Gunlance,VollkommeneGewehrlnz,Lancecanon souverain,Lza. pist. consumada,L-fucile compiuta,業銃槍ディグラトニ,Weapon,Gunlance,7,0,,,,,
6427,"Doomlance ""Greed""","Unheillanze ""Gier""","Sortlance ""Avidité""","Lanza ""Codicia""",Fatolancia Avarizia,滅銃槍ダークグリード,Weapon,Gunlance,10,0,,,,,
6428,Scissor Gunlance,Scheren-Gewehrlanze,Lancecanon ciseaux,Lanza pistola tijera,L-fucile Forbice,シザーガンランス,Weapon,Gunlance,5,0,,,,,
6429,Scissor Cannon,Scheren-Kanone,Canon ciseaux,Cañón tijeras,Cannone Forbice,シザーキャノン,Weapon,Gunlance,8,0,,,,,
6430,Violet Cannon,Violette Kanone,Canon violet,Cañón violeta,Cannone viola,バイオレットキャノン,Weapon,Gunlance,8,0,,,,,
6431,Violet Buster,Violetter Sprenger,Briseur violet,Buster violeta,Buster viola,バイオレットバースト,Weapon,Gunlance,9,0,,,,,
6432,Cornpopper,Popcornkanone,Canon à maïs,Maicera,Mietitrice,砲モロコシ,Weapon,Gunlance,5,0,,,,,
6433,Mighty Cornpopper,MächtigPopcornkanone,Grand canon à maïs,Maicera poderosa,Supermietitrice,大砲モロコシ,Weapon,Gunlance,9,0,,,,,
6434,Jaya Gunlance,Jaya-Gewehrlanze,Lancecanon Jaya,Lanza pistola Jaya,Lancia-fucile Jaya,アスファアルダナブ,Weapon,Gunlance,6,0,,,,,
6435,Jaya Gunlance+,Jaya-Gewehrlanze+,Lancecanon Jaya +,Lanza pistola Jaya+,Lancia-fucile Jaya+,アスファアルダナブ改,Weapon,Gunlance,7,0,,,,,
6436,Seditious Gunlance,Aufruhr-Gewehrlanze,Lancecanon séditieux,Lza. pist. insurrecta,L-fucile sediziosa,叛逆の銃槍,Weapon,Gunlance,9,0,,,,,
6437,Tamarod Sedition,Tamarod-Aufruhr,Révolte Tamarod,Rebelión de Tamarod,Sedizione Tamarod,叛逆銃槍ロドレギオン,Weapon,Gunlance,10,0,,,,,
6438,Illstarred Gunlance,Unglückseliger Blick,Regard d'infortune,Mirada de desdicha,Sguardo sventurato,逆まく凶星の銃槍,Weapon,Gunlance,6,0,,,,,
6439,The Celestial Fall,Himmlischer Fall,La Chute Céleste,Caída celestial,Caduta celeste,震天動地に崩すグング,Weapon,Gunlance,7,0,,,,,
6440,Ethelbald the Dire,Ethelbald Schrecken,Ethelbald le Funeste,"Ethelbald, el Terror",Ethelbald il Truce,破砕王グングボルド,Weapon,Gunlance,9,0,,,,,
6441,Dalamadur Gunlance,DalamadurGewehrlanz,Lancecanon Dalamadur,Lza. pist. Dalamadur,L-fucile Dalamadur,帝銃槍ダラベルフェン,Weapon,Gunlance,10,0,,,,,
6442,Unchained Dalamadur,EntfessltrDalamadur,Dalamadur déchaîné,Dalamadur desatado,Dalamadur redento,蛇銃槍ランセマデュラ,Weapon,Gunlance,10,0,,,,,
6443,Akantor Gunlance,Akantor-Gewehrlanze,Lancecanon Akantor,Lanza pist. Akantor,L-fucile Akantor,覇銃槍アペカムトルム,Weapon,Gunlance,7,0,,,,,
6444,Akantor Cannonlance,AkantorNoirGewehrlnz,Lancecanon Akantor,Lzapist. Akantor neg,L-fuc. Akantor nero,覇砲槍クーネアペカム,Weapon,Gunlance,10,0,,,,,
6445,Ukanlos Gunlance,UkanlosLoheGewehrlnz,Lancecanon Ukanlos,Lanza pist. Ukanlos,L-fucile Ukanlos,崩銃槍パシカムルバス,Weapon,Gunlance,7,0,,,,,
6446,Ukanlos Cannonlance,UkanlosKanonenlanze,Lancefeu Ukanlos,Lza. pist. Ukanlos,Lancia-cann. Ukanlos,崩砲槍バシカオンカム,Weapon,Gunlance,9,0,,,,,
6447,Fatalis Gunlance,Fatalis-Gewehrlanze,Canon Fatalis,Lzapist. drag. negro,L-fucile Fatalis,黒龍銃槍,Weapon,Gunlance,7,0,,,,,
6448,True Fatalis Gunlance,EchtSchwaDrchGwhrlnz,Dévastation Fatalis,Lzapist. dragón real,L-fucile drago ebano,真・黒龍銃槍,Weapon,Gunlance,10,0,,,,,
6449,Monsieur Gore,Mister Blut,Monsieur carnage,Monsieur Gore,Monsieur Gore,ミスタゴアード,Weapon,Gunlance,8,0,,,,,
6450,Monsieur Gore+,Mister Blut+,Monsieur carnage +,Monsieur Gore+,Monsieur Gore+,ミスタゴアード改,Weapon,Gunlance,8,0,,,,,
6451,Madame Butcher,Madame Metzger,Madame massacre,Madame carnicera,Madame Carnaio,ミセスシュヴェアード,Weapon,Gunlance,9,0,,,,,
6452,Seltas Fortitude,Seltas-Kraft,Vaillance Seltas,Fortaleza de Seltas,Fermezza Seltas,砲銃槍ゲネルタフネス,Weapon,Gunlance,9,0,,,,,
6453,Mauer/Guerre,Mauer und Krieg,Guerre et Paix,Mauer/Guerra,Mauer-Guerre,ウォールorウォー,Weapon,Gunlance,9,0,,,,,
6454,Venomous Perfume,Giftiges Parfüm,Parfum venimeux,Perfume venenoso,Profumo venefico,ベナムデパルファン,Weapon,Gunlance,10,0,,,,,
6455,Eldaora's Brigia,Eldaoras Brigia,Eldaora Brigia,Brillo de Eldaora,Brigia Eldaora,エルダオル＝ブリジア,Weapon,Gunlance,10,0,,,,,
6456,Towering Demise,Ragender Untergang,Trépas colossal,Perdición destacada,Crollo verticale,滅びの塔,Weapon,Gunlance,10,0,,,,,
6457,Auguring Prophet,VerheißenderProphet,Prophète clairvoyant,Presagio de profeta,Profeta divinante,前兆のプロフェティア,Weapon,Gunlance,10,0,,,,,
6458,Hellruin Gunlance,HöllnruinGewehrlnze,Lancecanon Ravage,Lanza pistola ruina,L-fuc. rovina ebano,焔魔滅龍銃槍,Weapon,Gunlance,10,0,,,,,
6459,W. Fatalis Gunlance,WeißFatalisGwhrlnze,Canon Fatalis ancien,Lza. pist. Fat. bl.,L-fucile Fatalis b.,祖龍霊銃槍,Weapon,Gunlance,10,0,,,,,
6460,Worn Gunlance,Benutzte Gewehrlanze,Lancecanon usé,Lanza pistola ajada,L-fucile consunta,凄く風化した銃槍,Weapon,Gunlance,5,0,,,,,
6461,Weathered Gunlance,VerwittertGwehrlanze,Lancecanon effrité,Lanza pistola vieja,Lancia-fucile erosa,風化した銃槍,Weapon,Gunlance,5,0,,,,,
6462,Obelisk,Obelisk,Obélisque,Obelisco,Obelisco,オベリスク,Weapon,Gunlance,6,0,,,,,
6463,Deus Obelisk,Gottes-Obelisk,Obélisque Deus,Obelisco Deus,Obelisco Deus,デオス・オシリス,Weapon,Gunlance,9,0,,,,,
6464,Luna's Howl,Lunas Geheul,Hurlement Luna,Aullido de Luna,Urlo di Luna,ナナ＝ハウル,Weapon,Gunlance,6,0,,,,,
6465,Luna's Flare,Lunas Leuchtfeuer,Explosion Luna,Bengala de Luna,Fiammata di Luna,ナナ＝フレア,Weapon,Gunlance,7,0,,,,,
6466,Luna's Flare+,Lunas Leuchtfeuer+,Explosion Luna +,Bengala de Luna+,Fiammata di Luna+,ナナ＝フレア改,Weapon,Gunlance,8,0,,,,,
6467,Luna's Sun,Lunas Sonne,Soleil Luna,Sol de Luna,Sole di Luna,ナナ＝ソレイユ,Weapon,Gunlance,10,0,,,,,
6468,Icesteel Gunlance,GletscherGewehrlanze,Lancecanon de mercure,Lanza pist. glacial,L-fucile glaciale,鋼氷銃槍,Weapon,Gunlance,6,0,,,,,
6469,Daora's Brigia,Daoras Brigia,Brigia Daora,Brillo de Daora,Brigia Daora,ダオラ＝ブリジア,Weapon,Gunlance,7,0,,,,,
6470,Daora's Tempest,Daoras Unwetter,Tempête Daora,Tormenta Daora,Tormenta Daora,ダオラ＝テンペスタ,Weapon,Gunlance,10,0,,,,,
6471,シルバークラウン,シルバークラウン,シルバークラウン,シルバークラウン,シルバークラウン,シルバークラウン,Weapon,Gunlance,2,0,,,,,
6472,ゴールドクラウン,ゴールドクラウン,ゴールドクラウン,ゴールドクラウン,ゴールドクラウン,ゴールドクラウン,Weapon,Gunlance,3,0,,,,,
6473,プラチナクラウン,プラチナクラウン,プラチナクラウン,プラチナクラウン,プラチナクラウン,プラチナクラウン,Weapon,Gunlance,6,0,,,,,
6474,Bamboo Birdsbane,Bambus-Vogelfluch,Tue-oiseau en bambou,Bambú matapájaros,Avioflagello bambù,竹銃槍【トリオドシ】,Weapon,Gunlance,4,0,,,,,
6475,Bamboo Lionsbane,Bambus-Löwenfluch,Tue-lion en bambou,Bambú mataleones,Leoflagello bambù,竹銃槍【シシオドシ】,Weapon,Gunlance,8,0,,,,,
6476,Bamboo Dragonsbane,Bambus-Drachenfluch,Tue-dragon en bambou,Bambú matadragones,Dragoflagello bambù,竹銃槍【タツオドシ】,Weapon,Gunlance,8,0,,,,,
6477,ボルティックワークス,ボルティックワークス,ボルティックワークス,ボルティックワークス,ボルティックワークス,ボルティックワークス,Weapon,Gunlance,5,0,,,,,
6478,Bone Axe,Knochenaxt,Hache en os,Hacha de hueso,Ascia d'osso,ボーンアックス,Weapon,Switch Axe,1,0,,,,,
6479,Bone Axe+,Knochenaxt+,Hache en os +,Hacha de hueso+,Ascia d'osso+,ボーンアックス改,Weapon,Switch Axe,1,0,,,,,
6480,Bone Smasher,Knochenschmetterer,Écraseur en os,Aplastahuesos,Spezzaossa,ボーンスマッシャー,Weapon,Switch Axe,1,0,,,,,
6481,Power Gasher,Power-Spalter,Balafreur de force,Tajadora de poder,Sfregio potente,パワーブロウニー,Weapon,Switch Axe,2,0,,,,,
6482,Massive Gasher,Massiver Spalter,Balafreur de violence,Tajador masivo,Sfregio poderoso,ストロングブロウニー,Weapon,Switch Axe,2,0,,,,,
6483,Maximal Gasher,Maximal-Spalter,Balafreur Maximo,Tajador máximo,Sfregio massimo,マキシモブロウニー,Weapon,Switch Axe,3,0,,,,,
6484,Elite Switch Axe,Elite-Morph-Axt,Morpho-hache élite,Hacha espada élite,Spad-ascia d'élite,精鋭討伐隊剣斧,Weapon,Switch Axe,4,0,,,,,
6485,Elite Switch Axe+,Elite-Morph-Axt+,Morpho-hache élite +,Hacha espada élite+,Spad-ascia d'élite+,精鋭討伐隊剣斧改,Weapon,Switch Axe,5,0,,,,,
6486,Czar Switch Axe,Zaren-Morph-Axt,Morpho-hache de tsar,Hacha espada de zar,Spad-ascia zar,ディズオブアーム,Weapon,Switch Axe,6,0,,,,,
6487,General's Strongaxe,General-Starkaxt,Hache de Général,Hacha de general,Ascia del generale,ジェネラルアーム,Weapon,Switch Axe,8,0,,,,,
6488,Conqueress,Erobererin,Conquistador,Conquistadora,Conquistatrice,コンクエスタ,Weapon,Switch Axe,9,0,,,,,
6489,Amber Slash,Bernsteinhieb,Lame ambrée,Tajo ámbar,Taglio d'ambra,アンバースラッシュ,Weapon,Switch Axe,5,0,,,,,
6490,Galefrost,Sturmfrost,Vent glacé,Ventascarcha,Vento gelido,ゴアゲイルフロスト,Weapon,Switch Axe,6,0,,,,,
6491,Galefrost+,Sturmfrost+,Vent glacé +,Ventascarcha+,Vento gelido+,ゴアゲイルフロスト改,Weapon,Switch Axe,8,0,,,,,
6492,Giga Galefrost,Giga-Sturmfrost,Vent glacé Giga,Gigaventascarcha,Bufera gelida,ギガゲイルフロスト,Weapon,Switch Axe,9,0,,,,,
6493,Rath Flame Splitter,RathaFlammenentzweir,Trancheflamme Rath,Partellamas de Rath,Sputafiamme Rath,リオフラムグレイブ,Weapon,Switch Axe,3,0,,,,,
6494,Rath Blaze Splitter,RathalosGlutentzweir,Tranchefeu Rath,Partefuegos de Rath,Sputafuoco Rath,リオヴェルグレイブ,Weapon,Switch Axe,5,0,,,,,
6495,Rathsplicer,Rathalos-Spleißer,Sectionneur Rath,Tajafuegos de Rath,Combinatore Rath,焔斧リオブレイアード,Weapon,Switch Axe,7,0,,,,,
6496,Rathlagration,Rathlagration,Rathlagration,Rathlagración,Rathesplosione,焔斧リオエクスレイズ,Weapon,Switch Axe,9,0,,,,,
6497,Rathscension,Rathzension,Rathscension,Rathcensión,Rathascesa,光焔斧リオエクシード,Weapon,Switch Axe,10,0,,,,,
6498,Dragonmaiden Axe,Drachenmagdaxt,Princesse dragon,Hacha dracodoncella,Ascia di ladydrago,竜姫の剣斧,Weapon,Switch Axe,2,0,,,,,
6499,Dragonmaiden Axe+,Drachenmagdaxt+,Princesse dragon +,Hacha dracodoncella+,Ascia di ladydrago+,竜姫の剣斧改,Weapon,Switch Axe,3,0,,,,,
6500,Gríðr's Landmaker,Gríðrs Landmacher,Terre de Gríðr,Creatierra de Gríðr,Fenditerra di Gríðr,ランドグリーズ,Weapon,Switch Axe,5,0,,,,,
6501,Azure Rose,Azur-Rose,Rose azur,Rosa celeste,Rosa azzurra,桜剣蒼斧,Weapon,Switch Axe,6,0,,,,,
6502,Azure Rosebloom,Azur-Rosenblüte,Bouton de rose azur,Capullo rosa celeste,Bocciolo azzurro,桜剣蒼斧【花天】,Weapon,Switch Axe,9,0,,,,,
6503,Azure Straybloom,Azur-Irrblüte,Bouton sauvage azur,Flor celeste,Fiore azzurro,桜剣蒼斧【狂咲】,Weapon,Switch Axe,10,0,,,,,
6504,Vavoom Axe,Vavoom-Axt,Hache passionnelle,Hacha Bambam,Ascia Vavoom,ヴァーヴンアックス,Weapon,Switch Axe,2,0,,,,,
6505,Vavoom Axe+,Vavoom-Axt+,Hache passionnelle +,Hacha Bambam+,Ascia Vavoom+,ヴァーヴンアックス改,Weapon,Switch Axe,2,0,,,,,
6506,Vavoom Verdict,Vavoom-Urteil,Justice passionnelle,Veredicto Bambam,Verdetto Vavoom,ヴァーヴンナーゲル,Weapon,Switch Axe,3,0,,,,,
6507,Vavoom Vengeance,Vavoom-Vergeltung,Châtiment passionnel,Venganza Bambam,Vendetta Vavoom,ヴァーヴンダルハラ,Weapon,Switch Axe,4,0,,,,,
6508,Vavoom Vindication,Vavoom-Verteidigung,Supplice passionnel,Defensa Bambam,Difesa Vavoom,ヴァーヴルンシンガー,Weapon,Switch Axe,5,0,,,,,
6509,Vavoom Nakha,Vavoom-Nakha,Nakha passionnel,Nakha Bambam,Nakh filante,ヴァーヴルンナッカー,Weapon,Switch Axe,8,0,,,,,
6510,Weird Wacha Nakha,Seltsame WachaNakha,Nakha Wacha étrange,Wacha rara Nakha,Nakh Wacha bislacca,奇猿斧ワチャルナッカ,Weapon,Switch Axe,8,0,,,,,
6511,Tanka Talon,Tanka-Klaue,Serre Tanka,Zarpa Tanka,Artiglio Tanka,クク・ダンガ,Weapon,Switch Axe,8,0,,,,,
6512,Tatanka Talon,Tatanka-Klaue,Serre Tatanka,Zarpa Tatanka,Artiglio Tatanka,クク・ダグダンガ,Weapon,Switch Axe,8,0,,,,,
6513,Usurper's Downpour,Thronräuber-Guss,Déluge d'usurpateur,Diluvio usurpador,Diluvio del tiranno,王剣斧ライデン,Weapon,Switch Axe,3,0,,,,,
6514,Despot's Cloudburst,Despoten-Wolkenbruch,Tonnerre du despote,Nube del déspota,Tempesta despota,王牙剣斧【裂雷】,Weapon,Switch Axe,5,0,,,,,
6515,Brimstren Drakefang,Brimstren-Drakenzahn,Croc briseur,Colmillo Brimstren,Dragozanna Brimstren,獄剣斧リュウガ,Weapon,Switch Axe,6,0,,,,,
6516,Brimstren Drakefang+,Brimstren-Drakenzahn+,Croc briseur +,Colmillo Brimstren+,Dragozanna Brimstren+,獄剣斧リュウガ改,Weapon,Switch Axe,9,0,,,,,
6517,Stygian Vanagloria,Höllen-Vanagloria,Vanagloria stygienne,Vannagloria estigia,Vanagloria stigea,狼牙剣斧【暴獄】,Weapon,Switch Axe,9,0,,,,,
6518,Volt Axe,Volt-Axt,Hache volt,Hacha de voltaje,Ascia voltaica,雷剣斧ヴォルト,Weapon,Switch Axe,6,0,,,,,
6519,Remiel Whitebolt,Remiel-Weißblitz,Éclair blanc Remiel,Rayiblanco Remiel,Fulminebianco Remiel,白雷剣斧ラミエル,Weapon,Switch Axe,9,0,,,,,
6520,Nether Excellion,Jenseits-Exzellion,Excellion Nether,Excellion tenebroso,Excellion Nether,冥剣雷斧エンシード,Weapon,Switch Axe,10,0,,,,,
6521,Notched Doom,Gezacktes Schicksal,Destin carnassier,Maldición mellada,Sventura dentata,ノッチスダイル,Weapon,Switch Axe,2,0,,,,,
6522,Notched Doom+,Gezacktes Schicksal+,Destin carnassier +,Maldición mellada+,Sventura dentata+,ノッチスダイル改,Weapon,Switch Axe,4,0,,,,,
6523,Notched Tyrant,Gezackter Tyrann,Tyran carnassier,Tirano mellado,Tiranno dentato,ノッチスメガロ,Weapon,Switch Axe,5,0,,,,,
6524,Notched Oppressor,GezackterUnterdrückr,Roi carnassier,Opresor mellado,Oppressore dentato,ノッチスデスメガロ,Weapon,Switch Axe,6,0,,,,,
6525,Notched Oppressor+,GezacktrUnterdrückr+,Roi carnassier +,Opresor mellado+,Oppressore dentato+,ノッチスデスメガロ改,Weapon,Switch Axe,8,0,,,,,
6526,Notched Diavolo,Gezackter Teufel,Diavolo carnassier,Diavolo mellado,Diavolo dentato,ノッチスディアボーロ,Weapon,Switch Axe,9,0,,,,,
6527,Allagi Tigermaw,Allagi-Tigerschlund,Mâchoire tigre,Fauces de tigre,Tigrozanna Allagi,虎口アラギ,Weapon,Switch Axe,8,0,,,,,
6528,Zamtreacherous Maw,VerräterZmtrischlnd,Mâchoire Zamtraître,Fauces Zamtraidoras,Fauci zamtroci,大虎口ザボアラギ,Weapon,Switch Axe,9,0,,,,,
6529,Dios Axe,Dios-Axt,Hache Dios,Hacha Brachydios,Ascia Dios,ディオスアックス,Weapon,Switch Axe,4,0,,,,,
6530,Dios Axe+,Dios-Axt+,Hache Dios +,Hacha Brachydios+,Ascia Dios+,ディオスアックス改,Weapon,Switch Axe,5,0,,,,,
6531,Demolition Axe,Zerstörungsaxt,Hache démolition,Hacha de demolición,Ascia demolitrice,爆砕の剣斧,Weapon,Switch Axe,6,0,,,,,
6532,Brisant Demolisher,Brisanter Demolierer,Démolisseur explosif,Explosivo demoledor,Demolitore Brisant,破岩剣斧エクリクシー,Weapon,Switch Axe,9,0,,,,,
6533,Lightbreak Axe,Lichtbruch-Axt,Hache de lumière,Hacha parteluz,Ascia d'alba,砕光の剣斧,Weapon,Switch Axe,10,0,,,,,
6534,Barbarian Axe,Barbarenaxt,Hache de barbare,Hacha bárbara,Ascia barbarica,蛮族の剣斧,Weapon,Switch Axe,1,0,,,,,
6535,Bold Barbarian Axe,Mutige Barbarenaxt,Audace de barbare,Hacha bárbara brava,Grandascia barbarica,蛮勇の剣斧,Weapon,Switch Axe,2,0,,,,,
6536,Barbarian Outcast,Barbarenverbannter,Hache de berserker,Paria bárbara,Reietto barbarico,蛮勇の剣斧【無頼】,Weapon,Switch Axe,4,0,,,,,
6537,Bruiser Axe,Rabauken-Axt,Hache cogneuse,Hacha magulladora,Ascia della banda,猛者の戦斧,Weapon,Switch Axe,8,0,,,,,
6538,Chief Bruiser Axe,Rabaukenboss-Axt,Surhache cogneuse,Jefa magulladora,Ascia del capobanda,猛者の戦斧【首領】,Weapon,Switch Axe,9,0,,,,,
6539,Waxglare Wand,WachsblickZauberstb,Baguette prunelles,Vara mirona,Bacchetta lustrata,ステアライズ＝ワンド,Weapon,Switch Axe,10,0,,,,,
6540,Pecospander,Pecospander,Pecospandeur,Pecoxpander,Pecospander,ペキスパンダー,Weapon,Switch Axe,2,0,,,,,
6541,Pecospander+,Pecospander+,Pecospandeur +,Pecoxpander+,Pecospander+,ペキスパンダー改,Weapon,Switch Axe,2,0,,,,,
6542,Qurupexspander,Qurupexpander,Qurupexspandeur,Qurupexpander,Qurupexspander,クルペキスパンダー,Weapon,Switch Axe,4,0,,,,,
6543,Qurupexspander+,Qurupexpander+,Qurupexspandeur +,Qurupexpander+,Qurupexspander+,クルペキスパンダー改,Weapon,Switch Axe,8,0,,,,,
6544,Helstrong Firebath,Höllenkraft-Feuerbad,Bain de feu d'enfer,Helstrong ígneo,Ardore d'inferno,紅蓮斧ヘルゼスティ,Weapon,Switch Axe,9,0,,,,,
6545,Wild Axe,Wildaxt,Hache sauvage,Hacha salvaje,Ascia selvaggia,ワイルドアックス,Weapon,Switch Axe,1,0,,,,,
6546,Wild Axe+,Wildaxt+,Hache sauvage +,Hacha salvaje+,Ascia selvaggia+,ワイルドアックス改,Weapon,Switch Axe,2,0,,,,,
6547,Ground Dasher,Bodenprescher,Sprint terrestre,Corredor,Spezzaterra,グランドダッシャー,Weapon,Switch Axe,2,0,,,,,
6548,Rex Slasher,Tigrex-Schlitzer,Découpeuse Rex,Cortadora rex,Rex rescissore,レックスラッシュ,Weapon,Switch Axe,3,0,,,,,
6549,Rex Gnasher,Tigrex-Knirscher,Trancheuse Rex,Trituradora rex,Rex digrignante,レックスラッシャー,Weapon,Switch Axe,5,0,,,,,
6550,Accursed Switcher,Verfluchter Wandler,Morpho-hache maudite,Azote rex,Spad-ascia maledetta,カーサスラッシャー,Weapon,Switch Axe,6,0,,,,,
6551,Sheltered Graveaxe,Geschützte Grabaxt,Hache funeste,Hachazo cubierto,Necroascia rivestita,衝斧【虎威】,Weapon,Switch Axe,7,0,,,,,
6552,Sheltered Graveaxe+,Geschützte Grabaxt+,Hache funeste +,Hachazo cubierto+,Necroascia rivestita+,衝斧【虎威】改,Weapon,Switch Axe,9,0,,,,,
6553,Crazed Grisaxe,Verrückte Grauenaxt,Sépulhache démente,Hacha enloquecida,Aggroascia folle,絶衝斧【狂虎】,Weapon,Switch Axe,10,0,,,,,
6554,Axe Semper Tyrannis,Semper-Tyrannis-Axt,Semper Tyrannis,Hacha Semper Tyranis,Ascia della tirannia,タイラントアックス,Weapon,Switch Axe,9,0,,,,,
6555,Axe of Gaia,Gaia-Axt,Hache de Gaïa,Hacha de Gaia,Ascia di Gaia,ガイア,Weapon,Switch Axe,9,0,,,,,
6556,Axe of Thanatos,Thanatos-Axt,Hache de Thanatos,Hacha de Tánatos,Ascia di Thanatos,タナトスアックス,Weapon,Switch Axe,9,0,,,,,
6557,Axe of Hades,Hades-Axt,Hache d'Hadès,Hacha de Hades,Ascia di Ade,ハデス,Weapon,Switch Axe,9,0,,,,,
6558,Eisenleib,Eisenleib,Volonté du corps,Voluntad del cuerpo,Eisenleib,ウィルofシェイプ,Weapon,Switch Axe,3,0,,,,,
6559,Eisengeist,Eisengeist,Volonté de l'esprit,Voluntad de espíritu,Eisengeist,ウィルofマインド,Weapon,Switch Axe,4,0,,,,,
6560,Eisenherz,Eisenherz,Volonté de l'âme,Voluntad del alma,Eisenherz,ウィルofソウル,Weapon,Switch Axe,5,0,,,,,
6561,La Guillotine,Guillotine,La Guillotine,Guillotina,La Guillotine,THEエグゼキューター,Weapon,Switch Axe,7,0,,,,,
6562,Le Sursis,Begnadigung,L'Offrande,Indulto,Le Sursis,THEグラント,Weapon,Switch Axe,9,0,,,,,
6563,La Conclusion,Folgerung,La Conclusion,Conclusión,La Conclusion,THEクローザー,Weapon,Switch Axe,10,0,,,,,
6564,Assault Axe,Überfallaxt,Hache d'attaque,Hacha de asalto,Ascia d'assalto,アサルトアックス,Weapon,Switch Axe,2,0,,,,,
6565,Blitzkrieg,Blitzkrieg,Blitzkrieg,Blitzkrieg,Blitzkrieg,バンカーバスター,Weapon,Switch Axe,3,0,,,,,
6566,Binding Roller,Bindewalze,Rouleau paralysant,Rodillo atrapador,Ascia paralizzante,バウンドローラー,Weapon,Switch Axe,5,0,,,,,
6567,Vermilingua,Vermilingua,Vermilingua,Vermilingua,Vermilingua,ヴァーミリンガー,Weapon,Switch Axe,6,0,,,,,
6568,Vermilion Bloodaxe,Vermillon-Blutaxt,Sanglante vermillon,Hacha roja de sangre,Ascia vermiglia,紅剣斧ヴァーミリオン,Weapon,Switch Axe,8,0,,,,,
6569,Flickaxe,Klappaxt,Paralysaxe,Golpehacha,Guizzascia,フリックアックス,Weapon,Switch Axe,2,0,,,,,
6570,Flickaxe+,Klappaxt+,Paralysaxe +,Golpehacha+,Guizzascia+,フリックアックス改,Weapon,Switch Axe,2,0,,,,,
6571,Flicker Axe,Flimmeraxt,Serpache,Aporrehacha,Ascia guizzo,フリッカーアックス,Weapon,Switch Axe,5,0,,,,,
